[20190113_181319]     LOG | Entity Parametric Constructor
[20190113_181324]     LOG | Entity Parametric Constructor
[20190113_181324]     LOG | Entity Parametric Constructor
[20190113_181324]     LOG | Entity Parametric Constructor
[20190113_181327]     LOG | Entity Destructor
[20190113_181328]     LOG | Entity Destructor
[20190113_181328]     LOG | Entity Destructor
[20190113_181329]     LOG | Entity Destructor
[20190113_181329]     LOG | Entity Parametric Constructor
[20190113_181329]     LOG | Entity Parametric Constructor
[20190113_181329]     LOG | Entity Destructor
[20190113_181329]     LOG | Entity Destructor
[20190113_181329]     LOG | Entity Destructor
[20190113_181346]     LOG | Entity Destructor
[20190113_181444]     LOG | Default Time Constructor
[20190113_181444]   ERROR | 72
[20190113_181444]   ERROR | 278
[20190113_181444] WARNING | EntitiesList Constructor
[20190113_181444]     LOG | Default Entity Constructor
[20190113_181444]     LOG | Entity Parametric Constructor
[20190113_181444] WARNING | number =                  
[20190113_181444]     LOG | Entity Parametric Constructor
[20190113_181444]     LOG | Entity Parametric Constructor
[20190113_181444]     LOG | Entity Parametric Constructor
[20190113_181449]     LOG | Entity Parametric Constructor
[20190113_181449]     LOG | Entity Parametric Constructor
[20190113_181449]     LOG | Entity Parametric Constructor
[20190113_181452]     LOG | Entity Destructor
[20190113_181453]     LOG | Entity Destructor
[20190113_181453]     LOG | Entity Destructor
[20190113_181453]     LOG | Entity Destructor
[20190113_181454]     LOG | Entity Parametric Constructor
[20190113_181454]     LOG | Entity Parametric Constructor
[20190113_181454]     LOG | Entity Destructor
[20190113_181454]     LOG | Entity Destructor
[20190113_181454]     LOG | Entity Destructor
[20190113_181511]     LOG | Entity Destructor
[20190113_181518]     LOG | Default Time Constructor
[20190113_181518]   ERROR | 72
[20190113_181518]   ERROR | 278
[20190113_181518] WARNING | EntitiesList Constructor
[20190113_181518]     LOG | Default Entity Constructor
[20190113_181518]     LOG | Entity Parametric Constructor
[20190113_181518] WARNING | number =                  
[20190113_181518]     LOG | Entity Parametric Constructor
[20190113_181518]     LOG | Entity Parametric Constructor
[20190113_181518]     LOG | Entity Parametric Constructor
[20190113_181523]     LOG | Entity Parametric Constructor
[20190113_181523]     LOG | Entity Parametric Constructor
[20190113_181523]     LOG | Entity Parametric Constructor
[20190113_181525]     LOG | Entity Destructor
[20190113_181526]     LOG | Entity Destructor
[20190113_181526]     LOG | Entity Destructor
[20190113_181527]     LOG | Entity Destructor
[20190113_181528]     LOG | Entity Parametric Constructor
[20190113_181528]     LOG | Entity Parametric Constructor
